,person,offer_id,offer_type,event_x,time_x,event_y,time_y,event,time,duration,response,reward,web,email,mobile,social,difficulty,gender,age,became_member_on,income
0,78afa995795e4d85b5d9ceeca43f5fef,9b98b8c7a33c4b65b9aebfe6a799e6d9,bogo,offer received,0,offer viewed,6.0,offer completed,132.0,7.0,1,5,1,1,1,0,5,F,75,2017-05-09,100000.0
1,389bc3fa690240e798340f5a15918d5c,f19421c1d4aa40978ebb69ca19b0e20d,bogo,offer received,0,offer viewed,504.0,offer completed,600.0,5.0,0,5,1,1,1,1,5,M,65,2018-02-09,53000.0
2,4b0da7e80e5945209a1fdddfe813dbe0,ae264e3637204a6fb9bb56bc8210ddfd,bogo,offer received,0,offer viewed,102.0,offer completed,510.0,7.0,0,10,0,1,1,1,10,M,64,2017-09-09,100000.0
3,d53717f5400c4e84affdaeda9dd926b3,0b1e1539f2cc45b7b9fa7c272da2e1d7,discount,offer received,0,offer viewed,30.0,offer completed,624.0,10.0,0,5,1,1,0,0,20,F,88,2017-05-18,53000.0
4,f806632c011441378d4646567f357a21,fafdcd668e3743c1bb461111dcafc2a4,discount,offer received,0,offer viewed,18.0,offer completed,126.0,10.0,1,2,1,1,1,1,10,M,42,2013-08-11,69000.0
5,f806632c011441378d4646567f357a21,fafdcd668e3743c1bb461111dcafc2a4,discount,offer received,0,offer viewed,18.0,offer completed,462.0,10.0,0,2,1,1,1,1,10,M,42,2013-08-11,69000.0
6,f806632c011441378d4646567f357a21,fafdcd668e3743c1bb461111dcafc2a4,discount,offer received,0,offer viewed,408.0,offer completed,462.0,10.0,0,2,1,1,1,1,10,M,42,2013-08-11,69000.0
7,d058f73bf8674a26a95227db098147b1,0b1e1539f2cc45b7b9fa7c272da2e1d7,discount,offer received,0,offer viewed,30.0,offer completed,192.0,10.0,1,5,1,1,0,0,20,F,56,2018-04-28,88000.0
8,d058f73bf8674a26a95227db098147b1,0b1e1539f2cc45b7b9fa7c272da2e1d7,discount,offer received,0,offer viewed,30.0,offer completed,414.0,10.0,0,5,1,1,0,0,20,F,56,2018-04-28,88000.0
9,d058f73bf8674a26a95227db098147b1,0b1e1539f2cc45b7b9fa7c272da2e1d7,discount,offer received,0,offer viewed,360.0,offer completed,414.0,10.0,0,5,1,1,0,0,20,F,56,2018-04-28,88000.0
10,9f30b375d7bd4c62a884ffe7034e09ee,2298d6c36e964ae4a3e7e9706d1fb8c2,discount,offer received,0,offer viewed,42.0,offer completed,114.0,7.0,1,3,1,1,1,1,7,F,26,2017-08-12,63000.0
11,c0d210398dee4a0895b24444a5fcd1d2,9b98b8c7a33c4b65b9aebfe6a799e6d9,bogo,offer received,0,offer viewed,30.0,offer completed,66.0,7.0,1,5,1,1,1,0,5,M,45,2018-07-07,33000.0
12,9c64321646bf40f6ad1bc98864eaa6b8,fafdcd668e3743c1bb461111dcafc2a4,discount,offer received,0,offer viewed,6.0,offer completed,216.0,10.0,1,2,1,1,1,1,10,F,48,2016-10-14,53000.0
13,32fbf97e89274e8a935903f2ad095e1f,9b98b8c7a33c4b65b9aebfe6a799e6d9,bogo,offer received,0,offer viewed,96.0,offer completed,156.0,7.0,1,5,1,1,1,0,5,M,73,2017-12-12,38000.0
14,32fbf97e89274e8a935903f2ad095e1f,9b98b8c7a33c4b65b9aebfe6a799e6d9,bogo,offer received,0,offer viewed,96.0,offer completed,366.0,7.0,0,5,1,1,1,0,5,M,73,2017-12-12,38000.0
15,32fbf97e89274e8a935903f2ad095e1f,9b98b8c7a33c4b65b9aebfe6a799e6d9,bogo,offer received,0,offer viewed,360.0,offer completed,366.0,7.0,0,5,1,1,1,0,5,M,73,2017-12-12,38000.0
16,b7a66e629b134079a9bc7120c7b9947b,f19421c1d4aa40978ebb69ca19b0e20d,bogo,offer received,0,offer viewed,24.0,offer completed,36.0,5.0,1,5,1,1,1,1,5,M,44,2017-09-24,35000.0
17,ca82e1ebc759402c8ab95c341755bdf1,2906b810c7d4411798c6938adc9daaa5,discount,offer received,0,offer viewed,12.0,offer completed,24.0,7.0,1,2,1,1,1,0,10,M,63,2018-07-13,56000.0
18,d3f146b615514c6380b168bb3df5f05b,f19421c1d4aa40978ebb69ca19b0e20d,bogo,offer received,0,offer viewed,12.0,offer completed,96.0,5.0,1,5,1,1,1,1,5,M,68,2017-08-23,87000.0
19,d3f146b615514c6380b168bb3df5f05b,f19421c1d4aa40978ebb69ca19b0e20d,bogo,offer received,0,offer viewed,12.0,offer completed,234.0,5.0,0,5,1,1,1,1,5,M,68,2017-08-23,87000.0
20,d3f146b615514c6380b168bb3df5f05b,f19421c1d4aa40978ebb69ca19b0e20d,bogo,offer received,0,offer viewed,186.0,offer completed,234.0,5.0,0,5,1,1,1,1,5,M,68,2017-08-23,87000.0
21,2e87ba0fba1a4d1a8614af771f07a94d,2298d6c36e964ae4a3e7e9706d1fb8c2,discount,offer received,0,offer viewed,30.0,offer completed,54.0,7.0,1,3,1,1,1,1,7,M,67,2017-02-26,76000.0
