,person,offer_id,time_x,time_y,time,offer_type,duration
0,0011e0d4e6b944f998e987f904e8c1e5,2298d6c36e964ae4a3e7e9706d1fb8c2,168,186.0,252.0,discount,7
1,0011e0d4e6b944f998e987f904e8c1e5,0b1e1539f2cc45b7b9fa7c272da2e1d7,408,432.0,576.0,discount,10
2,0011e0d4e6b944f998e987f904e8c1e5,9b98b8c7a33c4b65b9aebfe6a799e6d9,504,516.0,576.0,bogo,7
3,0020c2b971eb4e9188eac86d93036a77,fafdcd668e3743c1bb461111dcafc2a4,0,12.0,54.0,discount,10
4,0020c2b971eb4e9188eac86d93036a77,4d5c57ea9a6940dd891ad53e9dbe8da0,408,426.0,510.0,bogo,5
5,0020ccbbb6d84e358d3414a3ff76cffd,2298d6c36e964ae4a3e7e9706d1fb8c2,168,168.0,222.0,discount,7
6,0020ccbbb6d84e358d3414a3ff76cffd,f19421c1d4aa40978ebb69ca19b0e20d,336,348.0,378.0,bogo,5
7,0020ccbbb6d84e358d3414a3ff76cffd,9b98b8c7a33c4b65b9aebfe6a799e6d9,504,582.0,600.0,bogo,7
8,003d66b6608740288d6cc97a6903f4f0,fafdcd668e3743c1bb461111dcafc2a4,168,300.0,384.0,discount,10
9,003d66b6608740288d6cc97a6903f4f0,fafdcd668e3743c1bb461111dcafc2a4,408,420.0,504.0,discount,10
10,00426fe3ffde4c6b9cb9ad6d077a13ea,fafdcd668e3743c1bb461111dcafc2a4,168,186.0,258.0,discount,10
11,004b041fbfe44859945daa2c7f79ee64,f19421c1d4aa40978ebb69ca19b0e20d,504,510.0,534.0,bogo,5
12,004b041fbfe44859945daa2c7f79ee64,fafdcd668e3743c1bb461111dcafc2a4,576,576.0,714.0,discount,10
13,004c5799adbf42868b9cff0396190900,fafdcd668e3743c1bb461111dcafc2a4,168,174.0,222.0,discount,10
14,004c5799adbf42868b9cff0396190900,f19421c1d4aa40978ebb69ca19b0e20d,408,408.0,432.0,bogo,5
15,004c5799adbf42868b9cff0396190900,f19421c1d4aa40978ebb69ca19b0e20d,504,516.0,558.0,bogo,5
16,0056df74b63b4298809f0b375a304cf4,9b98b8c7a33c4b65b9aebfe6a799e6d9,0,24.0,132.0,bogo,7
17,0082fd87c18f45f2be70dbcbb0fb8aad,9b98b8c7a33c4b65b9aebfe6a799e6d9,336,348.0,366.0,bogo,7
